on_number,hawaiian_phrase,english_phrase,meaning_phrase,headword_link,source_link
1452,Kama ʻia ke aloha a paʻa i loko.,Bind love that it may remain fast within.,Be a person who knows love.,haw-k.htm#kama,ON-conc-k-full.htm
1453,Ka maile lau liʻi o Koʻiahi.,The fine-leaved maile of Koʻiahi.,"Koʻiahi, Oʻahu, was famed in old chants for the finest and most fragrant small-leaved maile in the islands. It was destroyed by introduced animals.",haw-k.htm#koi,ON-conc-k-full.htm
1454,"Kamaʻilio ka waha, hana ka lima.",Let the mouth talk while the hands work.,"While talking, keep the hands busy.",haw-k.htm#kamailio,ON-conc-k-full.htm
1455,Ka makani ʻĀpaʻapaʻa o Kohala.,The ʻĀpaʻapaʻa wind of Kohala.,Kohala was famed in song and story for the ʻĀpaʻapaʻa wind of that district.,haw-a.htm#aouli,ON-conc-a-full.htm
1456,Ka makani ʻawa o Leleiwi.,The cold wind of Leleiwi.,Refers to Leleiwi Point in Hilo district.,haw-a.htm#awa,ON-conc-a-full.htm
1457,Ka makani haʻihaʻi lau hau o Olowalu.,The hau-leaf tearing wind of Olowalu.,A gusty wind.,haw-h.htm#haihai,ON-conc-h-full.htm
1458,Ka makani hali ʻala o Puna.,The fragrance-bearing wind of Puna.,"Puna, Hawaiʻi, was famed for the fragrance of maile, lehua, and hala. It was said that when the wind blew from the land, fishermen at sea could smell the fragrance of these leaves and flowers.",haw-h.htm#hali,ON-conc-h-full.htm
1459,Ka makani hāpala lepo o Pāʻia.,Dust-smearing wind of Paia.,"Pāʻia, Maui, is a dusty place.",haw-h.htm#hapala,ON-conc-h-full.htm
1460,Ka makani Hoʻeo o Moanalua.,"The Hoʻeo, whistling wind of Moanalua.",Moanalua is on Oʻahu.,haw-h.htm#hoehaili,ON-conc-h-full.htm
1461,Ka makani hoʻolapa o Kaumaea.,The playful wind of Kaumaea.,"Kaumaea is in Kaʻū, Hawaiʻi.",haw-h.htm#hoolapa,ON-conc-h-full.htm
1462,Ka makani kā ʻAhaʻaha laʻi o Niua.,The peaceful ʻAhaʻaha breeze of Niua that drives in the ʻahaʻaha fish.,"The ʻAhaʻaha breeze begins as the Kiliʻoʻopu in Waiheʻe, Maui, before reaching Niua Point in Waiehu. It is a gentle breeze and the sea is calm when it blows. Fishermen launch their canoes and go forth to fish, for that is the time when the ʻahaʻaha fish arrive in schools.",haw-a.htm#aha,ON-conc-a-full.htm
1463,Ka makani kāʻili aloha o Kīpahulu.,The love-snatching wind of Kīpahulu.,"A woman of Kipahulu, Maui, listened to the entreaties of a man from Oʻahu and left her husband and children to go with him to his home island. Her husband missed her very much and grieved. He mentioned his grief to a kahuna skilled in hana aloha sorcery, who told the man to find a container with a lid. The man was told to talk into it, telling of his love for his wife. Then the kahuna uttered an incantation into the container, closed it, and hurled it into the sea. The wife was fishing one morning at Kālia, Oʻahu, when she saw a container floating in on a wave. She picked it up and opened it, whereupon a great longing possessed her to go home. She walked until she found a canoe to take her to Maui.",haw-k.htm#kaili,ON-conc-k-full.htm
1464,Ka makani kāʻili kapa o Nuʻuanu.,The garment-snatching wind of Nuuanu.,"The gale that blows at Nuʻuanu Pali, Oʻahu, could whisk away the tapa garment of a traveler there.",haw-k.htm#kaili,ON-conc-k-full.htm
1465,Ka makani kokololio o Waikapiā.,"The swift, gusty wind of Waikapū.",Waikapū is on Maui.,haw-k.htm#kokololio,ON-conc-k-full.htm
1466,Ka makani kuehu lepo o Naʻalehu.,The dust-scattering wind of Naʻalehu.,Said of good crops as a result of showers.,haw-k.htm#kuehu,ON-conc-k-full.htm
1467,"Ka makani kūkulu peʻa nui, he ʻEka.","The ʻEka, the wind that sets up the big sails.","When the ʻEka wind blew in Kona, Hawaiʻi, the fishermen sailed out to the fishing grounds.",haw-e.htm#eka,ON-conc-e-full.htm
1468,Ka makani kulaʻi kanaka o Nuʻuanu.,The wind of Nuʻuanu that pushes people over.,The strong gales at Nuʻuanu were known to make travelers fall down.,haw-k.htm#kulai,ON-conc-k-full.htm
1469,Ka makani wehe lau niu o Laupāhoehoe.,The coconut-leaf-lifting wind of Laupāhoehoe.,"Laupāhoehoe, Hawai’i.",haw-l.htm#lauoho,ON-conc-l-full.htm
1470,Kamaliʻi hūpe kole.,Runny-nosed brats.,Advice to a bride. Be too friendly with another woman and she may hecome too friendly with your husband.,haw-h.htm#hupe,ON-conc-h-full.htm
1471,"Kamaliʻi ʻike ʻole i ka helu pō: Muku nei, Muku ka malama; Hilo nei, kau ka Hoaka.","Children who do not know the moon phases: Muku is here, Muku the moon; Hilo comes next, then Hoaka.",The first part of a child’s chant for learning the names of the moon phases. Also said of one who does not know the answer to a question or is ignorant. He is compared to a small child who has not learned the moon phases.,haw-h.htm#helu,ON-conc-h-full.htm
1472,Kamaliʻi ʻōkole heleleʻi.,Loose-seated child.,A small child excretes anywhere he pleases. Such a child isn’t old enough to know anything.,haw-h.htm#helelei,ON-conc-h-full.htm
1473,Ka malu ao o nā pali kapu o Kakaʻe.,The cloud shelter of the sacred cliffs of Kakaʻe.,"Kakaʻe, an ancient ruler of Maui, was buried in ʻīao Valley, and the place was given his name. It was known as Na-pali-kapu-o-Kakaʻe (Kakaʻe’s Sacred Precipice) or Na-pela-kapu-o-Kakaʻe (Kakaʻe’s Sacred Flesh). Since that time, many high chiefs have shared his burial place.",haw-k.htm#kaka,ON-conc-k-full.htm
1474,Ka malu hālau loa o ke kukui.,The long shelter of the kukui trees.,A kukui grove shelters like a house.,haw-m.htm#malu,ON-conc-m-full.htm
1475,Ka malu niu o Huʻehuʻewai.,The coconut grove of Huʻehuʻewai.,"This grove was in Kaimū, Puna.",haw-h.htm#huea,ON-conc-h-full.htm
1476,Ka malu niu o Pōkāʻī.,The coco-palm shade of Pōkaī.,"Refers to Waiʻanae, on Oʻahu. At Pōkāʻī was the largest and best-known coconut grove on Oʻahu, famed in chants and songs.",haw-n.htm#niu,ON-conc-n-full.htm
1477,Ka manu hoʻāla i ke ao.,The bird that wakes [everyone] at daybreak.,The rooster.,haw-h.htm#hoala,ON-conc-h-full.htm
1478,Ka manu kāhea i ka waʻa e holo.,The bird that calls to the canoe - to sail.,"Said of the kioea (stilt), whose early morning call was often a signal to canoemen to be ready to fish or travel.",haw-k.htm#kahea,ON-conc-k-full.htm
1479,Ka manu kaʻupu hālō ʻale o ka moana.,"The kaʻupu, the bird that observes the ocean.",Said of a careful observer.,haw-h.htm#halo,ON-conc-h-full.htm
1480,Ka manu keʻu ahiahi.,The bird that croaks in the evening.,"Said of one who talks of or brings bad luck. When the ʻalae (mudhen) croaks near a house at night, trouble is to be expected there.",haw-a.htm#ahiahi,ON-conc-a-full.htm
1481,"Kamaʻomaʻo, ka ʻāina huli hana.","At Kamaʻomaʻo, land of activities.","Ghosts who do not go to the pō of their ancestors often wander about in certain areas. Kamaomao, Maui, is such a place. The activities of such ghosts usually annoy the living.",haw-k.htm#kamaole,ON-conc-k-full.htm
1482,Kamilo pae aliʻi; Kamilo pae kanaka.,Kamilo where chiefs land; Kamilo where commoners land.,"Refers to the beach in Kaʻū called Kamilo. It is partly rocky and partly sandy. When a person died at sea between Halaaniani, Puna, and Kamilo, the current would wash up the body at this beach. If the drowned person was a chief, his body would wash up on the rough side, but if he was a commoner he would float to the smooth side where anyone could come and remove him.",haw-k.htm#kamehai,ON-conc-k-full.htm
1483,Kamipulu Kawaihae.,Damned fool Kawaihae.,"Said of Kawaihae natives. Some natives of Kawaihae, Hawaiʻi, once sold sweet potatoes to the captain of a ship. He discovered some sticks placed at the bottom of the barrel for filler and called the men damned fools [kamipulu].",haw-k.htm#kamipulu,ON-conc-k-full.htm
1484,"Ka moa i hānai ʻia i ka lā, ua ʻoi ia i ka moa i hānai ʻia i ka malu.",A cock fed in the sunlight is stronger than one fed in the shade.,"If you want a strong son, raise him with plenty of sunlight.",haw-o.htm#oi,ON-conc-o-full.htm
1485,"Ka moe kau a Moi, ke kahuna mana o Hāʻupukele.","You sleep like Moi, the powerful kahuna of Haupukele.","Said to one who oversleeps. The kahuna Moi, of Hāʻupukele, Molokaʻi, had a long, prophetic dream of misfortune to befall his chief. The chief paid no attention and kidnapped a chiefess of Hilo. This led to a war with her sons, Niheu and Kana.",haw-h.htm#haupeepee,ON-conc-h-full.htm
1486,Ka moena pāwehe o Mokulēʻia.,The patterned mat of Mokulēʻia [Oʻahu].,It is as varied and pretty as a patterned mat.,haw-m.htm#moena,ON-conc-m-full.htm
1487,"Ka moe no kau a Mele Wile, ala aʻe ua moʻa i ke kuke.","You sleep the sleep of Mary [wife of] Willie; when you awake, the food is cooked.","A common saying on Hawaiʻi applied to any sleepy-head. Mary, wife of William Shipman, was annoyed with a servant who constantly overslept. One morning she looked into the servant’s room and loudly uttered this condemnation. The other servants laughed, and the sleeping servant was so ashamed that she rose bright and early thereafter.",haw-k.htm#kuke,ON-conc-k-full.htm
1488,Ka moku kāʻili lā o Manokalanipo.,The sun-snatching island of Manokalanipo.,"Kauaʻi, the northwesternmost island of the group, beyond which the sun vanishes at dusk. Manokalanipo was an ancient ruler of Kauaʻi.",haw-k.htm#kaili,ON-conc-k-full.htm
1489,Ka moku puni kuapuʻu.,The hunchbacked island.,Maui. Its shape on the map resembles the figure of a hunchbacked person.,haw-k.htm#kuapuu,ON-conc-k-full.htm
1490,Ka mū ʻai paka o Puʻunui.,The tobacco-eating bug of Puʻunui.,Said of one who is a pest. Puʻunui is now a part of Honoluiu.,haw-m.htm#mu,ON-conc-m-full.htm
1491,Ka nahele hihipeʻa o Paliuli.,The impenetrable forest of Paliuli.,"Paliuli, in Hilo, was like a mirage — at times seen and at other times unseen.",haw-h.htm#hihipea,ON-conc-h-full.htm
1492,Ka nalu haʻaheo i ka hokua o ke kanaka.,The surf that proudly sweeps over the nape of one’s neck.,Said of a wind which surges and blows from the back. A play on hokua (crest of high wave).,haw-h.htm#haaheo,ON-conc-h-full.htm
1493,Ka nalu haʻi o Kalehuawehe.,The rolling surf of Kalehuawehe.,"Ka-lehua-wehe (Take-off-the-kehua) was Waikīkī’s most famous surf. It was so named when a legendary hero took off his lei of lehua blossoms and gave it to the wife of the ruling chief, with whom he was surfing.",haw-k.htm#kalani,ON-conc-k-full.htm
1494,Ka nalu heʻe o Puʻuhele.,The surf of Puuhele that is ridden.,"Puʻuhele is a place in Hāna, Maui, where there is good surfing.",haw-p.htm#puua,ON-conc-p-full.htm
1495,"Kani ka moa i ka ʻīpuka, he malihini kipa.","When a cock crows at the door, a guest is to he expected.","Mind your own business, or you’ll hear something that will hurt your feelings.",haw-i.htm#ipuka,ON-conc-i-full.htm
1496,"Kani ka pahu, holo ke kao.","The drum is sounded, the goat flees.",A humorous expression applied to a bald-headed man whose bare head is likened to a drum.,haw-k.htm#kao,ON-conc-k-full.htm
1497,Kani ka pola o ka malo.,The flap of the loincloth makes a snapping sound.,The boast of an athlete so swift in movement that the flap of his loincloth snaps.,haw-m.htm#malo,ON-conc-m-full.htm
1498,"Kani ke ʻō, he ihona pali.","One may shout with joy, as this is a going downhill.",The hard work is over; from here on all is easy.,haw-i.htm#ihona,ON-conc-i-full.htm
1499,"Kani kōlea, he kanaka; nū ka puaʻa, he lapu lā.","When a plover cries, there is a man nearby; when a pig grunts, a ghost is near.","Said while drawing down the lid of the eye in contempt. Also, a vulgar expression arising from the following story: On Hawaiʻi lived a man who was dim-sighted but not entirely blind, though he liked to pretend to be so. One day, two women saw him coming with a friend, and one said to the other, “One of those men can see, and the other is not as blind as he pretends to be.” Her companion disagreed. “I am sure he is blind,” she said. Then the first woman replied, “I will expose myself and we shall see.” When the men drew near, the woman sat down and facing the “blind” man, exposed herself. He looked and exclaimed, “A ‘ula! Kolekole!” Because of this, his friend and the two women knew that he was not totally blind.",haw-k.htm#kolea,ON-conc-k-full.htm
1500,Ka nīoi aku ia e welawela ai ko nuku.,That is the chili pepper that will burn your lips.,Said of one whose lovemaking is like the fiery taste of peppers. It’s long remembered.,haw-n.htm#nioi,ON-conc-n-full.htm
1501,Ka nīoi wela o Pakaʻalana.,The burning nīoi of Pakaʻalana.,"Refers to the heiau of Pakaʻalana in Waipiʻo, Hawaiʻi. The timber used about the doorway was of nioi wood. According to ancient legend, the nīoi, ʻohe, and kauila trees on Molokaʻi are said to be possessed by poison gods and are regarded as having mana. To tamper with the trees or the wood, especially in places of worship, is to invite serious trouble.",haw-n.htm#nioi,ON-conc-n-full.htm
1502,Ka niu peʻahi kanaka o Kaipalaoa.,The man-beckoning coco pa1ms of Kaipalaoa.,"The swaying palms that once grew at Kaipalaoa, Hilo, seemed to wave an invitation.",haw-k.htm#kaiokia,ON-conc-k-full.htm
1503,Kano ke kihi poʻohiwi o Honokōhau.,Hard are the shoulder muscles of Honokōhau.,"The people of Honokōhau, Maui, were said to be hard workers.",haw-h.htm#hono,ON-conc-h-full.htm
1504,Ka nui e ʻauamo ai i ke keiki i ke kua.,The size that enables one to carry a smaller child on the back.,Said of a child about ten years old who has grown big enough to carry a younger sibling on his back. In ancient days the age of a child was not reckoned by years but by physical ability to perform a certain task.,haw-a.htm#auamo,ON-conc-a-full.htm
1505,Ka nui e moʻa ai ka pūlehu.,The size when one is old enough to broil food.,Old enough to have a mate.,haw-m.htm#moa,ON-conc-m-full.htm
1506,Ka nui e paʻa ai i ka hue wai.,The size that enables one to carry a water bottle.,"Said of a child about two years old. In Kaʻū, where fresh water was scarce and had to be obtained from upland springs, every person who went helped to carry home water. When a child was about two, he was given a small gourd bottle for carrying water.",haw-h.htm#hue,ON-conc-h-full.htm
1507,Ka nui e paʻa ai i nā niu ʻelua.,The size that enables one to carry two coconuts.,Said of a child of about five.,haw-e.htm#elua,ON-conc-e-full.htm
1508,"Kanukanu, hūnā i ka meheu, i ka maʻawe alanui o Kapuʻukolu.","Covering with earth, hiding the footprints on the narrow trail of Kapuukolu.",Said of a cautious person who guards his ways from those who pry. In ancient times a person who did not want to be traced by his footsteps carefully eradicated them as he went.,haw-a.htm#alanui,ON-conc-a-full.htm
1509,"Kanu ke kalo i Welo, ʻaʻole e ulu nui ʻia e ka ʻohā.",Plant taro in Welo and the offshoots will not be many.,The corm of taro planted in the month of Welo grows very large but the offishoots are few.,haw-k.htm#kanu,ON-conc-k-full.htm
1510,Ka nuku o Māmala.,The mouth of Māmala.,"The entrance to Honolulu Harbor, named for a shark goddess who once lived in the vicinity.",haw-m.htm#mamaki,ON-conc-m-full.htm
1511,Ka ʻōhiʻa hihipeʻa o Kealakomo.,The entwining ʻōhiʻa branches of Kealakomo.,"Kealakomo, in Puna, Hawaiʻi, where ʻōhiʻa trees grow thickly together.",haw-h.htm#hihipea,ON-conc-h-full.htm
1512,Kaʻohu kāku o Kīlauea.,The draping mists of Kīlauea.,The mists in the crater of Kilauea look like drapery along its cliffs.,haw-k.htm#kaku,ON-conc-k-full.htm
1513,Kaʻohu wānana ua o Hāʻupu.,The mist of Hāʻupu that foretells rain.,"When clouds circle the peak of Hāʻupu, Kauaʻi, it is sure to rain.",haw-h.htm#haupeepee,ON-conc-h-full.htm
1514,Ka ʻōlohe puka awakea o Kamaʻomaʻo.,The bare one of Kamaʻomaʻo that appears at noonday.,"The plain of Kamaomao, Maui, is said to be the haunt of ghosts (ʻōlohe) who appear at night or at noon. Also a play on ʻōlohe (nude), applied to one who appears unclothed.",haw-a.htm#awakea,ON-conc-a-full.htm
1515,Ka ʻōnohi Wai a Uli.,Water of Uli made visible to the eyes.,A mirage revealed by the goddess Uli.,haw-o.htm#onohi,ON-conc-o-full.htm
1516,Ka ō ʻole i ka wehe a ka Hoʻolua.,No stopping when the Hoʻolua wind opens up.,Said of anything that can’t be stopped.,haw-h.htm#hoolua,ON-conc-h-full.htm
1517,Ka ʻoʻopu peke o Hanakāpīʻai.,The short ʻoʻopu of Hanakāpīʻai.,The ʻoʻopu at Hanakāpīʻai on Kauaʻi were said to be shorter and plumper than those anywhere else. Mentioned in chants.,haw-h.htm#hanai,ON-conc-h-full.htm
1518,Ka ʻōpuʻu pua i mōhala.,A flower that began to unfold.,A baby.,haw-m.htm#mohala,ON-conc-m-full.htm
1519,Ka ʻōwili makani ʻino o Kāwili.,The stormy wind of Kāwili.,"Kāwili is the current that comes from Kona and goes out to sea at Kalae, Kaʻū.",haw-k.htm#kawelu,ON-conc-k-full.htm
1520,Kāpae aʻe nō i kulakula.,Just set it aside on the embankment.,Let’s not bother with it anymore.,haw-k.htm#kapae,ON-conc-k-full.htm
1521,Kapa ʻehu kai o Kaʻena na ka makani.,Kaʻena is adorned with a garment of sea sprays by the blowing of the wind.,"Refers to Kaʻena, Oʻahu.",haw-k.htm#kaena,ON-conc-k-full.htm
1522,Kāpae ka ʻalaʻala he heʻe no kai uli.,[The weight causes] the head of the octopus to lean to one side; it is of the deep sea.,"Said disparagingly of a prosperous or important person. Once Hiʻiaka purposely avoided a kahuna who was seeking her. When he found her he said, “Oh! The head of the octopus leans to one side! After all, you are an octopus of the deep sea, a goddess!”",haw-a.htm#alaala,ON-conc-a-full.htm
1523,Kāpae ke kaua e ka hoahānau.,Let kinsmen cease fghting each other.,"Said by Kawelo to his opponent and kinsman, Kauahoa.",haw-h.htm#hoahanau,ON-conc-h-full.htm
1524,Kapakahi ka lā ma Waiʻanae.,Lopsided is the sun at Waiʻanae.,"Used to refer to anything lopsided, crooked, or not right. First uttered by Hiʻiaka in a rebuke to Lohiʻau and Wahineʻōmaʻo for talking when she warned them not to.",haw-k.htm#kapakahi,ON-conc-k-full.htm
1525,Kapakahi Manuia; Keokoʻi ka moku!,Crooked is Manuia; Keokoʻi is the ship!,"When Boki sailed to Noumea, Manuia and his wife Kaʻupena and two hundred others followed in the ship Keokoʻi. They were to join Boki’s party in the New Hebrides, but Boki’s ship was lost, and Boki was never seen again. Shortly before the return of the Keokoʻi, a lunatic went about the streets of Honolulu, crying these words. When the ship finally arrived, its flag was at half-mast, for most of the crew had died of disease and been buried at sea. Manuia’s body was brought home. This expression is said humorously of anything that is crooked or lopsided.",haw-k.htm#kapakahi,ON-conc-k-full.htm
1526,Ka pali hinahina o Kāʻanapali.,The gray hills of Kāʻanapali.,Said of a child born in the month of Hinaiaʻeleʻele.,haw-h.htm#hinahina,ON-conc-h-full.htm
1527,Ka pali kahakō lele a koaʻe.,Sheer cliff reached only by the tropic bird.,"A tall, inaccessible cliff.",haw-k.htm#kahako,ON-conc-k-full.htm
1528,Ka pali kāʻili wahine o Kēʻē.,The wife-snatching cliff of Kēʻē.,"Once upon a time some men of Kēʻē, Kauaʻi, fell in love with the wives of some Nuʻalolo men. They climbed the ladder up to Nualolo, threatened the men there, and departed with their wives.",haw-k.htm#kaili,ON-conc-k-full.htm
1529,Ka pali kāohi kumu aliʻi o ʻĪao.,The cliff of ʻĪao that embraces the chiefly sources.,"ʻĪao, Maui, was the burial place of many chiefs of high rank who are the ancestors of living chiefs.",haw-i.htm#iao,ON-conc-i-full.htm
1530,Ka pali kapu o Kamohoaliʻi.,The sacred cliff of Kamohoaliʻi.,"This cliff, at the crater of Kīlauea, is sacred to Kamohoaliʻi, brother of Pele. Smoke from the pit never swept over this cliff, even when the wind blew against it. Instead, the smoke rose directly upward due to the great respect Pele had for this beloved brother.",haw-k.htm#kamipulu,ON-conc-k-full.htm
1531,Ka pali nānā uhu kaʻi o Makapuʻu.,The uhu-observing cliff of Makapuʻu.,"The sea surrounding Makapuʻu Point, Oʻahu, is the favorite haunt of the uhu (parrotfish).",haw-k.htm#kai,ON-conc-k-full.htm
1532,Ka pali ʻō ahi o Makana.,The firebrand-hurling of the cliff of Makana.,"Pāpala or hau wood was cut, thoroughly dried, and carried up the hillside to where an imu lay ready to be lighted. When dusk descended, the imu was lighted and the logs placed in it. When the blowing of the wind was just right, the lighted log was hurled into the wind and borne seaward, high over the heads of the spectators, before dropping into the sea.",haw-m.htm#makamaka,ON-conc-m-full.htm
1533,Ka pali walowalo hea kanaka o Mōlīlele.,The eerie man-calling cliff of Mōlīlele.,"Mōlī-lele (Mōlī’s Leap), in Kaʻū, is the place where an unhappy girl named Mōlī once leaped over the cliff in suicide. On each anniversary of her death the gale there blows a little harder than usual, and a person standing at the point from which she jumped can hear a rushing sound, as of a tapa-clad person running by.",haw-h.htm#hea,ON-conc-h-full.htm
1534,Ka papa kāhulihuli o Wailuku.,The unstable plank of Wailuku.,Said of an unstable person or situation. First uttered by Hiʻiaka when she compared the physical condition of the chief ʻOlepau to the weak plank that spanned Wailuku Stream in Hilo.,haw-k.htm#kahulihuli,ON-conc-k-full.htm
1535,"Ka pau, o ka ʻōneanea.","The end, and barrenness.",All were destroyed and nothing but desolation is left.,haw-o.htm#oneanea,ON-conc-o-full.htm
1536,"Kāpeku ka leo o ke kai, o hoʻoilo ka malama.","When the voice of the sea is harsh, the winter months have come.",First uttered by Hiʻiaka.,haw-h.htm#hooilo,ON-conc-h-full.htm
1537,Ka pela kapu o Kakaʻe.,The sacred flesh of Kakaʻe.,The burial place of chiefs in ʻĪao Valley.,haw-k.htm#kaka,ON-conc-k-full.htm
1538,Kāpī ʻia i ka paʻakai a miko.,Sprinkled with salt until well salted.,Made to pay a stiff fine.,haw-k.htm#kapi,ON-conc-k-full.htm
1539,Ka piʻi nō ia a kōkī o Wailau.,Ascends to the highest point in Wailau.,"Praise for one who has made a worthy accomplishment. The inhabitants of Wailau, Molokaʻi, a place of tall precipices, were excellent climbers. [cf 2434]",haw-k.htm#koki,ON-conc-k-full.htm
1540,Ka pōhaku kihi paʻa.,The solid cornerstone.,"A reliable, dependable person.",haw-k.htm#kihi,ON-conc-k-full.htm
1541,Ka poi ʻuoʻuo o kāohi puʻu.,The tenacious poi that presses down in the throat.,A humorous reference to poi.,haw-k.htm#kaohi,ON-conc-k-full.htm
1542,Ka poli lauaʻe o Makana.,"Makana, whose bosom is adorned with lauaʻe ferns.","Famed in songs and chants are the fragrant lauaʻe fems of Makana, Kauaʻi.",haw-l.htm#lauae,ON-conc-l-full.htm
1543,"Ka pō nui hoʻolakolako, ke ao nui hoʻohemahema.","The great night that provides, the great day that neglects.","The gods supply, but man does not always accept with appreciation. Guidance is given in dreams that man often misunderstands and neglects.",haw-h.htm#hoohemahema,ON-conc-h-full.htm
1544,Ka pouhana.,The main post.,"The person on whom others depend for leadership, guidance, and help — the mainstay of the family or group.",haw-p.htm#pouhana,ON-conc-p-full.htm
1545,"Ka puhi o ka ale, ahu ke ʻolo.","An eel of the sea caverns, the chin sags.","When an eel of the deep sea grows large, the upper part of its neck sags with fat. Said of one who is prosperous — his pockets sag with money. Also said of a person with a double chin. Also, the scrotum.",haw-a.htm#ale,ON-conc-a-full.htm
1546,Ka puka kahiko.,The ancient hole.,"The anus. According to ancient legend, man did not have an anus and was not physically strong and well until Māui, the demigod, made the opening for him.",haw-k.htm#kahiko,ON-conc-k-full.htm
1547,Ka pūnua peʻe poli.,The fledgling that hides in the bosom.,A young sweetheart.,haw-p.htm#pee,ON-conc-p-full.htm
1548,Ka ua Apuakea o Mololani.,The Apuakea rain of Mololani.,Apuakea was once a beautiful maiden who was changed by Hiʻiaka into the rain that bears her name. Mololani is in Nuʻuanu.,haw-a.htm#apua,ON-conc-a-full.htm
1549,Ka ua ʻAwa o Kīlauea.,The ʻAwa rain of Kīlauea.,"The ʻAwa is a bitterly cold rain of ʻŌlaʻa and Kilauea, Hawaiʻi.",haw-a.htm#awa,ON-conc-a-full.htm
1550,Ka ua Hāʻao o Waiōhinu.,The Hāʻao rain of Waiōhinu.,"A poetical expression in reference to Waiōhinu in Kaʻū, Hawaiʻi. The Hāʻao rain comes down from the mountain in columns to Waiōhinu. It is mentioned in songs and chants of Kaʻū.",haw-h.htm#haanui,ON-conc-h-full.htm
1551,Ka ua heʻe nehu o Hilo.,The nehu-producing rain of Hilo.,The people knew the season when the schools of nehu fish followed the rain.,haw-n.htm#nehu,ON-conc-n-full.htm
1552,Ka ua hehi ʻulu o Piʻihonua.,The rain that treads on the breadfruit leaves of Piʻihonua.,Refers to Piʻihonua.,haw-h.htm#hehi,ON-conc-h-full.htm
1553,Ka ua hōʻeha-ʻili o Waiehu.,The skin-hurting rain of Waiehu.,"A chilly, pelting rain.",haw-h.htm#hoehaili,ON-conc-h-full.htm
1554,Ka ua hoʻopala ʻōhiʻa.,The rain that ripens mountain apples.,The rain that comes just as the mountain apple is beginning to ripen.,haw-h.htm#hoopala,ON-conc-h-full.htm
1555,Kauaʻi a ka ʻai paʻa.,Kauaʻi of the hard poi.,"There was a man of Kauaʻi who was inclined to be stingy and whose favorite meat was dried octopus. He would cut it into small pieces, remove the skin, and mix it into the poi. Whenever hospitality compelled him to invite anyone to share his food, he would say, “I am sorry that I have no meat. All I have is very lumpy poi. Just poke your fingers straight in and pull them up again. Push the lumps aside.” Naturally, many declined the invitation. But one day several visitors from Hawai’i who were very hungry accepted. One noticed that the host was chewing, so he stuck a lump in his mouth and chewed, thus discovering that the lumps were pieces of dried octopus.",haw-k.htm#kaua,ON-conc-k-full.htm
1556,Kauaʻi a Manokalanipo.,Kauai of Manokalanipo.,Manokalanipo was a chief of Kauaʻi in ancient times.,haw-k.htm#kaua,ON-conc-k-full.htm
1557,Kaʻū ʻai kōʻalaʻala.,Kaʻū of the hasty repast.,Some of the natives of Kaʻū had a reputation for not being very hospitable. Hasty eating on the part of the host did not encourage guests to linger.,haw-k.htm#kau,ON-conc-k-full.htm
1558,Kaʻūʻāina kipi.,"Kaʻū, land of rebels.","The people of Kaʻū were known to rebel against oppression, even killing their own oppressive chiefs.",haw-k.htm#kaua,ON-conc-k-full.htm
1559,"Kaʻū, ʻāina kua makani.","Kaʻū, a land over whose back the wind hlows.",Kaʻū is a windy land.,,ON/ON-conc-ka0u1.htm
1560,Ka ua kāhiko hala o Keaʻau.,The rain that adorns the pandanus trees of Keaʻau.,"Refers to the pandanus grove of Keaʻau, Puna, Hawaiʻi.",haw-k.htm#kahiko,ON-conc-k-full.htm
1561,Ka ua kani koʻo o Heʻeia.,The rain of Heʻeia that sounds like the tapping of walking canes.,Also said of the rain of Hilo.,haw-h.htm#hee,ON-conc-h-full.htm
1562,Ka ua Kanilehua o Hilo.,The Kanilehua rain of Hilo.,"Hilo, where the rain moistens the lehua blossoms.",haw-k.htm#kani,ON-conc-k-full.htm
1563,Ka ua kapa kea o Mololani.,The white-tapa rain of Mololani.,"The rain and mist at Mololani, Nuʻuanu, resembles a white sheet.",haw-k.htm#kapa,ON-conc-k-full.htm
1564,Ka ua kapuaʻi kanaka o Pālawai.,The rain of Pālāwai [which sounds like] human footsteps.,What causes you to refuse to speak or listen to me?,haw-k.htm#kapuai,ON-conc-k-full.htm
1565,Ka ua kau lāʻau o Pāhala.,The tree-resting rain of Pāhala.,"The rain of Pāhala in Kaʻū, Hawaiʻi, seems to rest on the tree tops.",haw-p.htm#paha,ON-conc-p-full.htm
1566,Ka ua kea o Hāna.,The white rain of Hāna.,"Refers to the misty rain of Hāna, Maui, that comes in from the sea.",haw-h.htm#hana,ON-conc-h-full.htm
1567,Ka ua kiawe lehua o Hōpoe.,The rain that sets the lehua of Hōpoe to swaying.,"When the rain patters down, the lehua of Hōpoe, Puna, gently sway to and fro.",haw-h.htm#hopo,ON-conc-h-full.htm
1568,Ka ua kīhene lehua o Hāmākua.,The rain that produces the lehua clusters of Hāmākua.,"Refers to Hāmākua, Maui.",haw-h.htm#hamaki,ON-conc-h-full.htm
1569,Ka ua kīkē hala o Punaluʻu.,The hala-pelting rain of Punaluu.,"Refers to the rain at Punaluʻu, Oʻahu.",haw-k.htm#kike,ON-conc-k-full.htm
1570,Ka ua kinai lehua o Panaʻewa.,The rain that bruises the lehua blossoms of Panaʻewa.,Both lehua and rain are commonly found in Panaʻewa.,haw-k.htm#kinai,ON-conc-k-full.htm
